Cert1,SerialNumber1,Type1,Cert2,SerialNumber2,Type2,Difference
cr.msk.sbercloud.ru,1806569185B9030A3EBB3ED0329,precertificate,cdn.ingos.ru,180656E0533DAB4B2A20130E50C,precertificate,24
cdn.ingos.ru,180656E0533DAB4B2A20130E50C,precertificate,edo.ingos.ru,180657102BEC6B71BF8CAB7E0E6,precertificate,23
edo.ingos.ru,180657102BEC6B71BF8CAB7E0E6,precertificate,www.exclusive.ingos.ru,1806573645E24923EEA4D20DDD9,precertificate,22
www.exclusive.ingos.ru,1806573645E24923EEA4D20DDD9,precertificate,ftp.ingos.ru,18065754C8DDAB4B2A2E4B7EF19,precertificate,19
ftp.ingos.ru,18065754C8DDAB4B2A2E4B7EF19,precertificate,ingoauto.ru,18065773FD3DAB4B2A264FA100C,precertificate,22
ingoauto.ru,18065773FD3DAB4B2A264FA100C,precertificate,ingos.ru,180657969C32462C7072520DDD9,precertificate,23
ingos.ru,180657969C32462C7072520DDD9,precertificate,ms.ingos.ru,180657B32F2DAB4B2A201781006,precertificate,22
ms.ingos.ru,180657B32F2DAB4B2A201781006,precertificate,partner.ingos.ru,180657CF4918F3CA342BEF22D38,precertificate,20
partner.ingos.ru,180657CF4918F3CA342BEF22D38,precertificate,partner2.ingos.ru,180657EBCFEDBB4B2A2011044B1,precertificate,21
partner2.ingos.ru,180657EBCFEDBB4B2A2011044B1,precertificate,sip.ingos.ru,180658D11A8CD6CBF81AF7C0B2E,precertificate,22
sip.ingos.ru,180658D11A8CD6CBF81AF7C0B2E,precertificate,sn.ingos.ru,180658EFD3E70B51BF8CAB7E0F4,precertificate,21
sn.ingos.ru,180658EFD3E70B51BF8CAB7E0F4,precertificate,static.ingos.ru,1806591CDB8DAB4B2A201783B68,precertificate,17
static.ingos.ru,1806591CDB8DAB4B2A201783B68,precertificate,*.study.ingos.ru,1806593D25744ADB0135965F76F,precertificate,24
*.study.ingos.ru,1806593D25744ADB0135965F76F,precertificate,trueconf.ingos.ru,180659692D0DBB4B2A201200AAB,precertificate,24
trueconf.ingos.ru,180659692D0DBB4B2A201200AAB,precertificate,*.vysota-bonus.ru,1806598BB40DBB4B2A24186ABF2,precertificate,20
*.vysota-bonus.ru,1806598BB40DBB4B2A24186ABF2,precertificate,*.mlogin2.ingos.ru,180659BB75BD9B4B2A20130CFF4,precertificate,22
*.mlogin2.ingos.ru,180659BB75BD9B4B2A20130CFF4,precertificate,*.mlogin.ingos.ru,18065A10615CA2117F8CAB7E030,precertificate,21
*.mlogin.ingos.ru,18065A10615CA2117F8CAB7E030,precertificate,*.msk.ingos.ru,18065A32D75DAB4B2A20188A23F,precertificate,22
*.msk.ingos.ru,18065A32D75DAB4B2A20188A23F,precertificate,*.lifeingos.ru,18065A50193D63496C6A0F6352F,precertificate,22
*.lifeingos.ru,18065A50193D63496C6A0F6352F,precertificate,vcda1.dzo.sbercloud.org,180663DBC7E360374EBB3ED3BDA,precertificate,21
vcda1.dzo.sbercloud.org,180663DBC7E360374EBB3ED3BDA,precertificate,pw.sbercloud.tech,180663DCAA8FACBACEBB3ED8B4C,precertificate,18
pw.sbercloud.tech,180663DCAA8FACBACEBB3ED8B4C,precertificate,portal.gos.sbercloud.dev,180663DD6C8A7130BEAB3EDB305,precertificate,18
portal.gos.sbercloud.dev,180663DD6C8A7130BEAB3EDB305,precertificate,*.sberdisk.ru,180663DF2B02A8AAFEBB3ED8306,precertificate,21
