CommonName,Type,CA,SerialNumber,HourPeriod,CorrectFormatSerialNum,IsTimeValid,IsVerified
yeniseygis.ru,precertificate,Russian Trusted Sub CA,18D0D9189C67E545D2078E79BC3,8760,true,true,true
enisei-gis.ru,precertificate,Russian Trusted Sub CA,18D0D9191397E545D207889A9C1,8760,true,true,true
yenisei-gis.ru,precertificate,Russian Trusted Sub CA,18D0D9199127E545D20788928ED,8760,true,true,true
app-mobiron005.open.ru,precertificate,Russian Trusted Sub CA,18D0D95F40E8C25739EC068DF26,8760,true,true,true
app-kafka.open.ru,precertificate,Russian Trusted Sub CA,18D0D95FE928C2573429796C726,8760,true,true,true
mce6.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AA485CFB7AF13D5F4A74E,8760,true,true,true
mce1.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AAFB9CEB7AF13D5F4A772,8760,true,true,true
mce5.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9ABB55CFB7AF13D5F4A704,8760,true,true,true
mce7.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AC5BACCB7AF13D5F4A7B7,8760,true,true,true
mce8.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AD150CCB7AF13D5F4A7FF,8760,true,true,true
mce10.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9ADAF4FBB2AF13D5F4A753,8760,true,true,true
mce9.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AE304CCB7AF13D5F4A726,8760,true,true,true
mce4.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AEC83CFB7AF13D5F4A7D9,8760,true,true,true
mce2.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AF5E1CFB7AF13D5F4A7A0,8760,true,true,true
mce3.mightycall.ru,precertificate,Russian Trusted Sub CA,18D0D9AFE21CFB7AF13D5F4A7ED,8760,true,true,true
psi.nasporte.sberbank.ru,precertificate,Russian Trusted Sub CA,18D0D9F7DBDF8492CFD462F65AC,8760,true,true,true
media.sberbank-school.ru,precertificate,Russian Trusted Sub CA,18D0D9F85B2DDA470AE204F7BFD,8760,true,true,true
email11.sberbank.ru,precertificate,Russian Trusted Sub CA,18D0D9F8DBCF861CF4C8AF266AC,8760,true,true,true
direct-in.sberbank.ru,precertificate,Russian Trusted Sub CA,18D0D9F9488F82D13F1D41BC29E,8760,true,true,true
prom.erm.sber247.ru,precertificate,Russian Trusted Sub CA,18D0D9F9AC2F849105D49F865AC,8760,true,true,true
*.sats.spb.ru,precertificate,Russian Trusted Sub CA,18D0DA2F2905A5FBF41D5B13E00,8760,true,true,true
*.vibory.spb.ru,precertificate,Russian Trusted Sub CA,18D0DA2F9EA5A5FBF410114FA00,8760,true,true,true
*.mechel.com,precertificate,Russian Trusted Sub CA,18D17B0B1AA00BE44BE8BD2ABD1,8760,true,true,true
prom.nasporte.sberbank.ru,precertificate,Russian Trusted Sub CA,18D17B4E780F8492CFD355A64AC,8760,true,true,true
research.sberbank-cib.com,precertificate,Russian Trusted Sub CA,18D17B4F1DE7ACFC0B3CE2D916B,8760,true,true,true
*.sber247.ru,precertificate,Russian Trusted Sub CA,18D17B4FC4CD5B4AFB3CEA93CB1,8760,true,true,true
trade.sberbank-cib.ru,precertificate,Russian Trusted Sub CA,18D17B505B7113AA9B3CE2D0F2A,8760,true,true,true
indices.sberbank-cib.com,precertificate,Russian Trusted Sub CA,18D17B5100D82D49FB3CE2D916B,8760,true,true,true
local.umfc.mfc61.ru,precertificate,Russian Trusted Sub CA,18D17B7E6E29522C3C2212A8986,8760,true,true,true
apitoken.mkb.ru,precertificate,Russian Trusted Sub CA,18D1C1EB37933A9A3FB2293A5E3,8760,true,true,true
