CommonName,Type,CA,SerialNumber,LogName,LogYear,ExpireTime,LogTime,Difference
itallin.ru,precert,Russian Trusted Sub CA,DE190F8E9C6411EFB6290242AC120002,MDC,2024,2025-02-04 17:30:50.000,2024-11-06 17:30:50.961,833h30m51s
mipt-school.ru,precert,Russian Trusted Sub CA,C617E4E065E211EFB3590242AC130004,MDC,2025,2024-11-27 08:43:33.000,2024-08-29 08:43:33.267,831h16m27s
ozvuchkateksta.ru,precert,Russian Trusted Sub CA,E82A5D309C4A11EFBFE50242AC120002,MDC,2024,2025-02-04 14:25:00.000,2024-11-06 14:25:00.907,830h25m1s
diad-dn.ru,precert,Russian Trusted Sub CA,64CECDD69C2C11EF86080242AC120002,MDC,2024,2025-02-04 10:46:35.000,2024-11-06 10:46:35.647,826h46m36s
eg.okay.com.tr,precert,Russian Trusted Sub CA,1EAE8BFE67AF11EF90B30242AC130004,MDC,2025,2024-11-29 15:38:50.000,2024-08-31 15:38:51.000,776h21m10s
gost.flat72.ru,precert,Russian Trusted Sub CA,DE1DCE02681B11EFAEB80242AC130004,MDC,2025,2024-11-30 04:37:17.000,2024-09-01 04:37:17.824,763h22m43s
safepass.com.ru,precert,Russian Trusted Sub CA,4FAE2F8683A11EF9A030242AC130004,MDC,2025,2024-11-30 08:13:07.000,2024-09-01 08:13:07.924,759h46m53s
safedisk.com.ru,precert,Russian Trusted Sub CA,6FB3BF2A683A11EF9AFF0242AC130004,MDC,2025,2024-11-30 08:16:06.000,2024-09-01 08:16:06.977,759h43m54s
za.lentu.ru,precert,Russian Trusted Sub CA,DB4B74DE990011EFBCC30242AC120002,MDC,2024,2025-01-31 09:57:22.000,2024-11-02 09:57:23.039,729h57m23s
3364339.ru,precert,Russian Trusted Sub CA,E124825C98F511EFBFCE0242AC120002,MDC,2024,2025-01-31 08:38:48.000,2024-11-02 08:38:48.427,728h38m49s
squadus1.tcinet.su,precert,TCI ECDSA B1 10-200,1AC0DE8BC799F2DA451B891,Yandex,2023,2024-01-30 15:02:40.000,2023-11-01 15:03:09.038,711h2m41s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,7AC3C18E984C11EFBCC30242AC120002,MDC,2024,2025-01-30 12:26:11.000,2024-11-01 12:26:11.685,708h26m12s
autoprestige63.ru,precert,Russian Trusted Sub CA,E154A74669EA11EF9E340242AC130004,MDC,2025,2024-12-02 11:51:39.000,2024-09-03 11:51:39.598,708h8m21s
sovatour.ru,precert,Russian Trusted Sub CA,856EF3F697B611EFA9A70242AC120002,MDC,2024,2025-01-29 18:32:45.000,2024-10-31 18:32:45.061,690h32m46s
dvneomed.ru,precert,Russian Trusted Sub CA,A0D98E3E6A9411EF9A6F0242AC130004,MDC,2025,2024-12-03 08:06:45.000,2024-09-04 08:06:45.859,687h53m15s
ser-ver.online,precert,Russian Trusted Sub CA,815B2170979F11EFA2BD0242AC120002,MDC,2024,2025-01-29 15:47:59.000,2024-10-31 15:47:59.802,687h48m0s
artel17.by,precert,Russian Trusted Sub CA,66C41F666AA311EF9A6F0242AC130004,MDC,2025,2024-12-03 09:52:30.000,2024-09-04 09:52:30.849,686h7m30s
novise12.mfnso.ru,precert,Russian Trusted Sub CA,8A5D73BC977811EFA9A70242AC120002,MDC,2024,2025-01-29 11:09:04.000,2024-10-31 11:09:04.581,683h9m5s
mail.41fbuz.ru,precert,Russian Trusted Sub CA,6C29A5EC977711EF82E50242AC120002,MDC,2024,2025-01-29 11:01:04.000,2024-10-31 11:01:04.369,683h1m5s
mail.41fbuz.ru,precert,Russian Trusted Sub CA,39456946977611EFAE510242AC120002,MDC,2024,2025-01-29 10:52:29.000,2024-10-31 10:52:29.505,682h52m30s
testtaxmon.brother.ru,precert,Russian Trusted Sub CA,8C0A65CA976011EFBC5E0242AC120002,MDC,2024,2025-01-29 08:17:19.000,2024-10-31 08:17:19.544,680h17m20s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,76392F4296D411EF82E50242AC120002,MDC,2024,2025-01-28 15:34:33.000,2024-10-30 15:34:33.283,663h34m34s
ddqd.su,precert,Russian Trusted Sub CA,F3C6FB46C3811EFADDC0242AC130004,MDC,2025,2024-12-05 10:09:10.000,2024-09-06 10:09:10.184,637h50m50s
internal.dev.cbg.ru,precert,Russian Trusted Sub CA,2700C8BE6C3A11EF9E8C0242AC130004,MDC,2025,2024-12-05 10:24:09.000,2024-09-06 10:24:09.052,637h35m51s
